"","symbol","date","open","high","low","close","volume","adjusted"
"252","GC=F",2020-12-30,1879.900024,1895.800049,1877.300049,1891,444,1891
"253","GC=F",2020-12-31,1897,1901.300049,1892.699951,1893.099976,127,1893.099976
"254","GC=F",2021-01-04,1912.199951,1945.099976,1912.199951,1944.699951,154,1944.699951
"255","GC=F",2021-01-05,1941.699951,1952.699951,1941.300049,1952.699951,113,1952.699951
"256","GC=F",2021-01-06,1952,1959.900024,1901.5,1906.900024,331,1906.900024
"257","GC=F",2021-01-07,1922.599976,1926.699951,1912,1912.300049,122,1912.300049
"258","GC=F",2021-01-08,1908,1908,1834.099976,1834.099976,60,1834.099976
"259","GC=F",2021-01-11,1826.5,1849.599976,1826.5,1849.599976,20,1849.599976
"260","GC=F",2021-01-12,1849,1859.699951,1839.400024,1842.900024,176,1842.900024
"261","GC=F",2021-01-13,1858,1858.599976,1853.599976,1853.599976,189,1853.599976
"262","GC=F",2021-01-14,1836.699951,1850.699951,1836.699951,1850.300049,149,1850.300049
"263","GC=F",2021-01-15,1829.400024,1829.400024,1825,1829.300049,31,1829.300049
"264","GC=F",2021-01-19,1802,1842.900024,1802,1839.5,13,1839.5
"265","GC=F",2021-01-20,1847.800049,1866.599976,1844.400024,1865.900024,16,1865.900024
"266","GC=F",2021-01-21,1865.300049,1868,1865.300049,1865.300049,6,1865.300049
"267","GC=F",2021-01-22,1854.900024,1855.699951,1852.699951,1855.699951,8,1855.699951
"268","GC=F",2021-01-25,1864.699951,1864.699951,1851.800049,1854.900024,26,1854.900024
"269","GC=F",2021-01-26,1855.800049,1855.800049,1850.699951,1850.699951,59,1850.699951
"270","GC=F",2021-01-27,1844.900024,1844.900024,1844.900024,1844.900024,195540,1844.900024
"271","GC=F",2021-01-28,1843.400024,1862.900024,1831.5,1837.900024,27283,1837.900024
"272","GC=F",2021-01-29,1842,1876,1838.699951,1847.300049,1634,1847.300049
"273","GC=F",2021-02-01,1866.599976,1871.900024,1850,1860.800049,1494,1860.800049
"274","GC=F",2021-02-02,1859.599976,1861.300049,1827.599976,1830.5,1293,1830.5
"275","GC=F",2021-02-03,1834.800049,1842.400024,1829.800049,1832.199951,1195,1832.199951
"276","GC=F",2021-02-04,1832.199951,1832.199951,1782.800049,1788.900024,2375,1788.900024
"277","GC=F",2021-02-05,1794.300049,1813.5,1790.900024,1810.900024,1278,1810.900024
"278","GC=F",2021-02-08,1816.300049,1836.699951,1809,1831.900024,254,1831.900024
"279","GC=F",2021-02-09,1841.900024,1843.300049,1830.699951,1835.300049,184,1835.300049
"280","GC=F",2021-02-10,1842.599976,1851.099976,1837,1840.599976,543,1840.599976
"281","GC=F",2021-02-11,1840.5,1845,1820.900024,1824.900024,602,1824.900024
"282","GC=F",2021-02-12,1825,1827.5,1809.199951,1821.599976,259,1821.599976
"283","GC=F",2021-02-16,1820.900024,1823.400024,1787.300049,1797.199951,1141,1797.199951
"284","GC=F",2021-02-17,1785.800049,1789.699951,1768.800049,1771.099976,614,1771.099976
"285","GC=F",2021-02-18,1776.099976,1784.599976,1766,1773.400024,587,1773.400024
"286","GC=F",2021-02-19,1764.300049,1787.599976,1764.300049,1775.800049,118,1775.800049
"287","GC=F",2021-02-22,1784,1807.800049,1784,1806.699951,165,1806.699951
"288","GC=F",2021-02-23,1809.599976,1811.300049,1796.400024,1804.400024,569,1804.400024
"289","GC=F",2021-02-24,1805.800049,1805.800049,1796.400024,1796.400024,1500,1796.400024
"290","GC=F",2021-02-25,1801.5,1802,1766.699951,1774.400024,1049,1774.400024
"291","GC=F",2021-02-26,1768.099976,1768.199951,1718.800049,1728.099976,1593,1728.099976
"292","GC=F",2021-03-01,1737.099976,1747,1720.300049,1722.5,407,1722.5
"293","GC=F",2021-03-02,1709.400024,1733.099976,1708.699951,1733.099976,867,1733.099976
"294","GC=F",2021-03-03,1730,1732.400024,1703.5,1715.300049,501,1715.300049
"295","GC=F",2021-03-04,1706.5,1717.400024,1700.199951,1700.199951,521,1700.199951
"296","GC=F",2021-03-05,1690.599976,1701,1685,1698,302,1698
"297","GC=F",2021-03-08,1704.699951,1705.400024,1673.699951,1677.699951,1290,1677.699951
"298","GC=F",2021-03-09,1686.199951,1717.5,1685.199951,1716.599976,335,1716.599976
"299","GC=F",2021-03-10,1713.599976,1722.900024,1711,1721.5,412,1721.5
"300","GC=F",2021-03-11,1725.599976,1737.5,1720.199951,1722.300049,18,1722.300049
"301","GC=F",2021-03-12,1715.900024,1722.5,1699,1719.5,80,1719.5
"302","GC=F",2021-03-15,1729.5,1731.900024,1722.800049,1728.900024,147,1728.900024
"303","GC=F",2021-03-16,1732.300049,1733.900024,1726,1730.599976,729,1730.599976
"304","GC=F",2021-03-17,1735.300049,1750.099976,1725.599976,1726.800049,488,1726.800049
"305","GC=F",2021-03-18,1745.800049,1750.300049,1721.800049,1732.199951,138,1732.199951
"306","GC=F",2021-03-19,1742.199951,1742.199951,1733.599976,1741.400024,13,1741.400024
"307","GC=F",2021-03-22,1737.800049,1737.800049,1737.800049,1737.800049,51,1737.800049
"308","GC=F",2021-03-23,1724.699951,1724.699951,1724.699951,1724.699951,6,1724.699951
"309","GC=F",2021-03-24,1727.5,1732.900024,1727.5,1732.900024,26,1732.900024
"310","GC=F",2021-03-25,1732.699951,1733.199951,1724.5,1724.900024,15,1724.900024
"311","GC=F",2021-03-26,1721.300049,1732.199951,1721.300049,1732.199951,33,1732.199951
